problem_id,turn,is_correct
aime_2025_8,3,0.609375
aime_2025_8,4,0.765625
aime_2025_8,5,0.65625
aime_2025_8,6,0.734375
aime_2025_8,7,0.734375
aime_2025_8,8,0.703125
aime_2025_8,9,0.671875
aime_2025_8,10,0.625
aime_2025_9,1,0.640625
aime_2025_9,2,0.53125
aime_2025_9,3,0.59375
aime_2025_9,4,0.625
aime_2025_9,5,0.625
aime_2025_9,6,0.515625
aime_2025_9,7,0.515625
aime_2025_9,8,0.609375
aime_2025_9,9,0.609375
aime_2025_9,10,0.625
